epoch	train_loss	train_dice	train_grad	test_loss	test_dice	best_epoch	best_test_dice
0	0.3231	0.6604	6.3424	0.4062	0.6389	0	0.6389
1	0.2607	0.6963	5.1891	0.3156	0.6368	0	0.6389
2	0.2254	0.6945	4.1943	0.3184	0.6244	0	0.6389
3	0.1884	0.7133	3.5361	0.365	0.6072	0	0.6389
4	0.1623	0.7314	2.6502	0.3364	0.6092	0	0.6389
5	0.153	0.7309	2.4177	0.3219	0.6528	5	0.6528
6	0.1489	0.7218	2.2778	0.316	0.594	5	0.6528
7	0.1304	0.7499	1.9321	0.2825	0.6511	5	0.6528
8	0.1382	0.7317	2.1455	0.3048	0.6278	5	0.6528
9	0.1337	0.7344	2.1644	0.3511	0.5768	5	0.6528
10	0.1323	0.7442	1.9975	0.3127	0.6382	5	0.6528
11	0.1294	0.7445	2.0084	0.3527	0.6527	5	0.6528
12	0.1201	0.7489	1.7605	0.3965	0.5853	5	0.6528
13	0.1227	0.7557	1.8673	0.3307	0.6784	13	0.6784
14	0.1127	0.7715	1.7059	0.291	0.664	13	0.6784
15	0.1086	0.7741	1.5962	0.2392	0.698	15	0.698
16	0.112	0.7795	1.7348	0.3005	0.6864	15	0.698
17	0.1196	0.753	1.7944	0.3029	0.6728	15	0.698
18	0.1017	0.7931	1.6792	0.3796	0.6223	15	0.698
19	0.1017	0.785	1.6666	0.3132	0.6776	15	0.698
20	0.0988	0.7896	1.6446	0.3405	0.6621	15	0.698
21	0.1016	0.7994	1.6327	0.3297	0.6417	15	0.698
22	0.1024	0.7978	1.7717	0.3379	0.5957	15	0.698
23	0.0938	0.8027	1.4914	0.3273	0.643	15	0.698
24	0.1028	0.7896	1.9843	0.2747	0.6733	15	0.698
25	0.0957	0.8054	1.5545	0.2837	0.6417	15	0.698
26	0.0986	0.7827	1.7189	0.299	0.6587	15	0.698
27	0.0951	0.7993	1.6792	0.2668	0.6771	15	0.698
28	0.093	0.8019	1.6431	0.2139	0.691	15	0.698
29	0.0891	0.8177	1.4509	0.2777	0.6517	15	0.698
30	0.0921	0.8056	1.6274	0.3704	0.6596	15	0.698
31	0.0947	0.8054	1.7402	0.2541	0.6758	15	0.698
32	0.0822	0.8282	1.3878	0.2318	0.7142	32	0.7142
33	0.0829	0.817	1.4333	0.2681	0.6409	32	0.7142
34	0.0876	0.8157	1.7383	0.2767	0.69	32	0.7142
35	0.0847	0.8244	1.6507	0.2839	0.6501	32	0.7142
36	0.0811	0.833	1.3555	0.319	0.669	32	0.7142
37	0.0813	0.8336	1.5608	0.2366	0.7255	37	0.7255
38	0.0854	0.8314	1.7291	0.2746	0.7047	37	0.7255
39	0.0797	0.8364	1.5464	0.2644	0.6979	37	0.7255
40	0.108	0.7999	3.253	0.2708	0.7295	40	0.7295
41	0.0824	0.8287	1.6502	0.2932	0.6637	40	0.7295
42	0.0789	0.8365	1.4852	0.2845	0.6694	40	0.7295
43	0.0783	0.8392	1.3538	0.4021	0.6491	40	0.7295
44	0.0849	0.8174	1.72	0.2027	0.7406	44	0.7406
45	0.077	0.8389	1.6386	0.2977	0.6696	44	0.7406
46	0.0776	0.8327	1.4326	0.3101	0.6719	44	0.7406
47	0.074	0.8418	1.3275	0.2662	0.6807	44	0.7406
48	0.0742	0.8504	1.4618	0.4212	0.6102	44	0.7406
49	0.0756	0.8387	1.4489	0.2348	0.7046	44	0.7406
0	0.2275	0.6164	8.8773	0.6874	0.602	0	0.602
0	0.26	0.5999	5.4044	0.1524	0.1162	0	0.1162
