epoch	train_loss	train_dice	train_grad	test_loss	test_dice	best_epoch	best_test_dice
0	0.4249	0.0845	2.2277	0.2844	0.2706	0	0.2706
1	0.2706	0.0435	0.6891	0.2674	0.1892	0	0.2706
2	0.2462	0.0878	0.5595	0.2439	0.2837	2	0.2837
3	0.2363	0.2124	0.5401	0.2557	0.2969	3	0.2969
4	0.2241	0.3148	0.5549	0.23	0.3358	4	0.3358
5	0.2198	0.336	0.6325	0.2399	0.3703	5	0.3703
6	0.2051	0.4413	0.6143	0.2219	0.4229	6	0.4229
7	0.2021	0.4681	0.7187	0.2502	0.4308	7	0.4308
8	0.2028	0.4933	0.7612	0.285	0.3762	7	0.4308
9	0.205	0.4572	0.7538	0.2211	0.3842	7	0.4308
10	0.1855	0.5178	0.5964	0.2448	0.476	10	0.476
11	0.1747	0.5714	0.7778	0.2443	0.4406	10	0.476
12	0.1634	0.6184	0.8516	0.2845	0.3999	10	0.476
13	0.1592	0.6412	0.7353	0.2849	0.4314	10	0.476
14	0.1541	0.6585	0.8736	0.2405	0.4295	10	0.476
15	0.1448	0.6619	0.7671	0.2781	0.4578	10	0.476
16	0.1353	0.7174	0.7527	0.2568	0.4559	10	0.476
17	0.1289	0.7209	0.7094	0.2749	0.4273	10	0.476
18	0.1228	0.7282	0.888	0.3195	0.4145	10	0.476
19	0.118	0.7442	0.7777	0.2966	0.4168	10	0.476
20	0.0987	0.7991	0.6075	0.3162	0.4265	10	0.476
21	0.0943	0.8118	0.8122	0.3335	0.4374	10	0.476
22	0.095	0.803	0.8388	0.3319	0.4689	10	0.476
23	0.0954	0.8079	0.8276	0.2842	0.4798	23	0.4798
24	0.0793	0.8344	0.581	0.396	0.4006	23	0.4798
25	0.068	0.8672	0.5741	0.3765	0.4278	23	0.4798
26	0.0628	0.8753	0.4537	0.3821	0.444	23	0.4798
27	0.0653	0.8679	0.6205	0.3816	0.4512	23	0.4798
28	0.0661	0.8697	0.8541	0.4234	0.398	23	0.4798
29	0.0763	0.8345	1.0005	0.3364	0.4274	23	0.4798
