epoch	train_loss	train_dice	train_grad	test_loss	test_dice	best_epoch	best_test_dice
0	0.6937	0.0158	2.255	0.7207	0.1108	0	0.1108
1	0.6368	0.0239	0.8142	0.6321	0.0	0	0.1108
2	0.6056	0.0	0.5194	0.6456	0.0	0	0.1108
3	0.6148	0.0	0.7078	0.5787	0.0	0	0.1108
0	0.658	0.0292	1.612	0.5961	0.0	0	0
1	0.62	0.0	0.6223	0.5771	0.0	0	0
2	0.6144	0.0008	0.502	0.6167	0.0	0	0
3	0.6104	0.0	0.459	0.595	0.0	0	0
4	0.6104	0.0001	0.474	0.5988	0.0	0	0
5	0.6063	0.0	0.4414	0.6067	0.0	0	0
6	0.6124	0.0193	1.9419	0.5677	0.0	0	0
7	0.6135	0.0001	0.5109	0.5909	0.0	0	0
8	0.6117	0.0	0.5453	0.5637	0.0	0	0
9	0.6181	0.0	0.6131	0.5984	0.0	0	0
0	0.3425	0.0307	1.5453	0.2657	0.0915	0	0.0915
1	0.2458	0.027	0.5135	0.2767	0.1731	1	0.1731
2	0.2307	0.176	0.4654	0.2883	0.2617	2	0.2617
3	0.2188	0.2951	0.5477	0.3024	0.2194	2	0.2617
4	0.2161	0.3135	0.5508	0.26	0.2745	4	0.2745
5	0.2027	0.3702	0.4475	0.2633	0.2381	4	0.2745
6	0.1948	0.4152	0.5715	0.3255	0.3183	6	0.3183
7	0.1872	0.4763	0.5149	0.2773	0.2994	6	0.3183
8	0.1838	0.4813	0.5798	0.2489	0.3974	8	0.3974
9	0.1697	0.5503	0.5024	0.2825	0.3951	8	0.3974
