epoch	train_loss	train_dice	train_grad	test_loss	test_dice	best_epoch	best_test_dice
0	0.3697	0.6302	6.1127	0.3071	0.5602	0	0.5602
1	0.3114	0.6545	5.2785	0.2753	0.6165	1	0.6165
2	0.2399	0.6787	5.6892	0.3038	0.5853	1	0.6165
3	0.262	0.6676	5.654	0.271	0.599	1	0.6165
4	0.2046	0.6942	4.6161	0.2126	0.6344	4	0.6344
5	0.1952	0.6858	3.9997	0.2579	0.6224	4	0.6344
6	0.1714	0.7158	4.4895	0.1983	0.6108	4	0.6344
7	0.1629	0.7083	2.7762	0.2845	0.5756	4	0.6344
8	0.1609	0.706	3.1875	0.2643	0.5692	4	0.6344
9	0.158	0.7137	3.537	0.1831	0.6447	9	0.6447
10	0.1458	0.7074	2.2197	0.2873	0.5916	9	0.6447
11	0.1459	0.693	2.1169	0.2142	0.6145	9	0.6447
12	0.1489	0.6954	2.2897	0.2321	0.6271	9	0.6447
13	0.1366	0.7133	2.2015	0.2374	0.5808	9	0.6447
14	0.1293	0.7359	2.1103	0.2365	0.5983	9	0.6447
15	0.1378	0.7179	2.0758	0.2434	0.5997	9	0.6447
16	0.1301	0.7355	1.7456	0.2275	0.6041	9	0.6447
17	0.1277	0.7255	2.009	0.2845	0.5956	9	0.6447
0	0.3678	0.6321	5.9873	0.3	0.5643	0	0.5643
1	0.3107	0.6554	5.1702	0.2705	0.6241	1	0.6241
2	0.2415	0.6773	5.6219	0.2955	0.5969	1	0.6241
3	0.2587	0.6679	5.7237	0.2583	0.6083	1	0.6241
4	0.2064	0.6945	4.4339	0.2077	0.6417	4	0.6417
5	0.1968	0.6865	4.0645	0.2489	0.6361	4	0.6417
6	0.1726	0.7164	3.7747	0.1913	0.6198	4	0.6417
7	0.1613	0.709	2.7951	0.2764	0.5849	4	0.6417
8	0.1588	0.7088	3.0206	0.2528	0.5799	4	0.6417
9	0.1566	0.7141	3.4001	0.1774	0.6532	9	0.6532
10	0.1441	0.7109	2.1577	0.2721	0.602	9	0.6532
11	0.1454	0.6932	8.8496	0.2088	0.6236	9	0.6532
12	0.1488	0.7002	2.3205	0.2256	0.6365	9	0.6532
13	0.1377	0.7157	2.2205	0.2308	0.5859	9	0.6532
14	0.1295	0.7448	2.0767	0.2285	0.6069	9	0.6532
15	0.1397	0.7212	2.0971	0.2344	0.6043	9	0.6532
16	0.133	0.737	1.7716	0.2201	0.6128	9	0.6532
17	0.1308	0.7262	2.2311	0.2712	0.6105	9	0.6532
18	0.1251	0.7447	1.8595	0.2673	0.6086	9	0.6532
19	0.1318	0.7141	2.0346	0.2038	0.6668	19	0.6668
20	0.1284	0.7348	1.8741	0.2378	0.6293	19	0.6668
21	0.1258	0.7389	1.9937	0.2184	0.6249	19	0.6668
22	0.1191	0.7559	1.837	0.2547	0.6351	19	0.6668
23	0.1187	0.7559	1.6966	0.2788	0.6228	19	0.6668
24	0.1227	0.7394	1.6461	0.2576	0.6362	19	0.6668
25	0.1187	0.7398	1.9935	0.208	0.6557	19	0.6668
26	0.1084	0.7736	1.4995	0.2522	0.6219	19	0.6668
27	0.1166	0.7662	1.8049	0.2125	0.6308	19	0.6668
28	0.1154	0.7621	1.6441	0.1738	0.6925	28	0.6925
29	0.1136	0.7484	1.5034	0.2368	0.6067	28	0.6925
30	0.1067	0.7697	1.5868	0.2359	0.6146	28	0.6925
31	0.1132	0.7431	1.8457	0.2462	0.5907	28	0.6925
32	0.1073	0.7764	1.6721	0.2085	0.6436	28	0.6925
33	0.1069	0.7898	3.8365	0.2161	0.6219	28	0.6925
34	0.1089	0.7719	1.7087	0.2124	0.6211	28	0.6925
35	0.1051	0.7851	1.7496	0.2738	0.5758	28	0.6925
36	0.1059	0.7733	1.5095	0.2442	0.6307	28	0.6925
37	0.1033	0.773	1.6796	0.2641	0.5847	28	0.6925
38	0.098	0.7958	1.3969	0.1841	0.6574	28	0.6925
39	0.0986	0.8011	1.4862	0.2163	0.6432	28	0.6925
40	0.1071	0.768	1.9318	0.1856	0.6641	28	0.6925
41	0.0975	0.7896	1.5129	0.2414	0.5995	28	0.6925
42	0.0967	0.794	1.4221	0.2518	0.6127	28	0.6925
43	0.1033	0.7778	1.4645	0.254	0.5969	28	0.6925
44	0.0885	0.8169	1.3319	0.2594	0.5741	28	0.6925
45	0.0916	0.8044	1.4124	0.2273	0.6291	28	0.6925
46	0.0944	0.7997	1.4558	0.2237	0.6339	28	0.6925
47	0.0948	0.7964	1.5001	0.2401	0.6033	28	0.6925
48	0.0922	0.8043	1.5712	0.2488	0.612	28	0.6925
49	0.1025	0.7906	2.9149	0.2628	0.6033	28	0.6925
