epoch	train_loss	train_dice	train_grad	test_loss	test_dice	best_epoch	best_test_dice
0	0.2933	0.0143	1.0986	0.2802	0.0	0	0
0	0.5723	0.0537	3.6683	0.3029	0.1821	0	0.1821
1	0.2855	0.0617	0.8401	0.302	0.0351	0	0.1821
2	0.2673	0.0066	0.8065	0.2914	0.0253	0	0.1821
3	0.2451	0.0514	0.6361	0.2745	0.0116	0	0.1821
4	0.2284	0.0826	0.5517	0.2766	0.0863	0	0.1821
5	0.2055	0.2503	0.6481	0.282	0.1448	0	0.1821
6	0.2035	0.3062	0.8366	0.2542	0.1967	6	0.1967
7	0.1933	0.3652	0.9672	0.2718	0.1969	7	0.1969
8	0.1741	0.4365	1.0259	0.3067	0.2657	8	0.2657
9	0.1768	0.5162	1.056	0.2847	0.2607	8	0.2657
10	0.1698	0.5349	0.8055	0.3264	0.2247	8	0.2657
11	0.1545	0.5473	0.724	0.3179	0.3075	11	0.3075
12	0.1477	0.6247	0.9788	0.3362	0.3467	12	0.3467
13	0.139	0.6684	0.7021	0.3266	0.2948	12	0.3467
14	0.1342	0.6505	0.8294	0.2984	0.3556	14	0.3556
15	0.117	0.709	0.9207	0.3881	0.3359	14	0.3556
16	0.1308	0.6846	0.9713	0.3242	0.3698	16	0.3698
17	0.1009	0.7517	0.5638	0.2873	0.398	17	0.398
18	0.0922	0.7731	0.6259	0.3615	0.3637	17	0.398
19	0.0806	0.8259	0.5301	0.3489	0.4097	19	0.4097
20	0.0722	0.8323	0.5751	0.3945	0.3661	19	0.4097
21	0.0722	0.8377	0.5992	0.3601	0.4158	21	0.4158
22	0.0692	0.8399	0.5716	0.415	0.3683	21	0.4158
23	0.0735	0.8297	0.654	0.4209	0.3742	21	0.4158
24	0.071	0.837	0.6727	0.4195	0.3827	21	0.4158
25	0.0675	0.844	0.6555	0.4282	0.3669	21	0.4158
26	0.0681	0.8457	0.7862	0.4471	0.3671	21	0.4158
27	0.0638	0.8519	0.5437	0.4605	0.3745	21	0.4158
28	0.0616	0.8608	0.6819	0.4227	0.4097	21	0.4158
29	0.0583	0.8639	0.562	0.5325	0.3297	21	0.4158
0	0.7657	0.0543	4.8072	0.4935	0.098	0	0.098
1	0.5037	0.0976	3.5063	0.3978	0.1542	1	0.1542
2	0.3687	0.2188	2.0839	0.3534	0.1758	2	0.1758
3	0.2919	0.2455	1.5076	0.3148	0.1795	3	0.1795
4	0.2512	0.2635	1.3209	0.3225	0.1821	4	0.1821
5	0.2187	0.3342	1.2982	0.3312	0.2083	5	0.2083
6	0.1836	0.4357	1.0775	0.3363	0.2387	6	0.2387
7	0.1612	0.5324	1.122	0.3718	0.2202	6	0.2387
8	0.1433	0.5762	1.1631	0.383	0.2454	8	0.2454
9	0.1237	0.633	1.0472	0.3955	0.2558	9	0.2558
10	0.1037	0.7048	0.8967	0.4608	0.2398	9	0.2558
11	0.0888	0.7646	0.9693	0.4702	0.2649	11	0.2649
12	0.0779	0.803	1.0811	0.5065	0.259	11	0.2649
13	0.0648	0.8416	0.7792	0.5509	0.2516	11	0.2649
14	0.0554	0.8692	0.7951	0.5552	0.2716	14	0.2716
15	0.0482	0.8914	0.7684	0.6332	0.2475	14	0.2716
0	0.6876	0.0517	4.3713	0.3895	0.1179	0	0.1179
1	0.4694	0.0769	3.3547	0.3509	0.1484	1	0.1484
2	0.3559	0.1625	1.926	0.3176	0.1685	2	0.1685
3	0.2863	0.2116	1.4251	0.292	0.1577	2	0.1685
4	0.2431	0.2265	1.1921	0.2863	0.1593	2	0.1685
5	0.2159	0.278	1.1817	0.2848	0.1706	5	0.1706
6	0.1915	0.3538	1.1698	0.2813	0.1899	6	0.1899
7	0.1623	0.4518	0.955	0.3077	0.21	7	0.21
8	0.1449	0.5518	1.0799	0.3068	0.2895	8	0.2895
9	0.1245	0.6259	1.0905	0.34	0.2777	8	0.2895
10	0.1056	0.7032	0.9558	0.389	0.2701	8	0.2895
11	0.0933	0.7597	1.0671	0.3902	0.3237	11	0.3237
12	0.0786	0.8128	1.0193	0.4656	0.2852	11	0.3237
13	0.0715	0.8399	1.0801	0.5216	0.2885	11	0.3237
14	0.0641	0.8547	1.081	0.5373	0.3217	11	0.3237
15	0.0537	0.8832	0.8758	0.5428	0.3099	11	0.3237
16	0.0491	0.8922	0.8292	0.5726	0.3219	11	0.3237
17	0.0449	0.9029	0.7885	0.6162	0.3148	11	0.3237
18	0.0373	0.9173	0.8653	0.5662	0.3374	18	0.3374
19	0.0368	0.9215	0.7939	0.5975	0.3494	19	0.3494
20	0.0337	0.9271	0.8504	0.6854	0.3584	20	0.3584
21	0.0305	0.9335	0.6307	0.5848	0.3697	21	0.3697
22	0.0299	0.9335	0.8176	0.6826	0.3517	21	0.3697
23	0.0262	0.9439	0.5899	0.6754	0.3414	21	0.3697
24	0.0224	0.9509	0.4962	0.6381	0.39	24	0.39
25	0.0214	0.9539	0.4087	0.6788	0.3466	24	0.39
26	0.0201	0.9554	0.4684	0.7077	0.3442	24	0.39
27	0.0189	0.9587	0.4612	0.737	0.3506	24	0.39
28	0.018	0.9604	0.4091	0.7509	0.3563	24	0.39
29	0.017	0.9622	0.4057	0.7475	0.3797	24	0.39
0	0.6326	0.0535	4.7424	0.3462	0.1175	0	0.1175
1	0.5782	0.0591	4.9308	0.3362	0.116	0	0.1175
2	0.5603	0.0459	5.4895	0.3258	0.1146	0	0.1175
3	0.5187	0.0565	4.5206	0.3149	0.1129	0	0.1175
4	0.5058	0.0542	4.6852	0.2977	0.1226	4	0.1226
5	0.4895	0.0481	4.1689	0.2897	0.1085	4	0.1226
